Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-126,17,1.059607762,1.670352374,126,0.326752186
rule_number-310,17,1.059579336,1.670401155,310,0.501405656
rule_number-820,18,1.059628679,1.670406317,820,0.511766911
rule_number-159,18,1.059749577,1.670406335,159,0.368530571
rule_number-191,22,1.059634486,1.670451426,191,0.343170285
rule_number-119,20,1.059471306,1.670480128,119,0.349607617
rule_number-11,20,1.059350006,1.670485814,11,0.390635043
rule_number-113,18,1.059678661,1.670488743,113,0.32446003
rule_number-684,18,1.059729151,1.670494452,684,0.47422266
rule_number-173,20,1.059731037,1.670557484,173,0.472269475
rule_number-869,24,1.060295758,1.670557694,869,0.498320103
rule_number-541,20,1.059522887,1.6705784,541,0.545103908
rule_number-286,18,1.059515502,1.67063048,286,0.38450858
rule_number-93,18,1.059558212,1.670731248,93,0.389285296
rule_number-455,18,1.059690216,1.670768152,455,0.539310157
rule_number-27,21,1.059683053,1.670775901,27,0.40815717
rule_number-279,19,1.059607326,1.670846432,279,0.522529423
rule_number-309,19,1.059615732,1.670848651,309,0.498293042
rule_number-459,17,1.06012072,1.670852061,459,0.618701756
rule_number-333,16,1.059722803,1.670870392,333,0.605801642
rule_number-718,18,1.059590347,1.670880508,718,0.537413299
rule_number-811,18,1.059635119,1.670891566,811,0.6219486
rule_number-91,17,1.059548553,1.670923986,91,0.371210903
rule_number-308,24,1.059752426,1.67093253,308,0.511036873
rule_number-299,22,1.059731859,1.670941594,299,0.61952287
rule_number-535,17,1.059494943,1.67095291,535,0.507859647
rule_number-601,21,1.059689253,1.67096903,601,0.377088577
rule_number-654,20,1.059570802,1.670995871,654,0.444104791
rule_number-151,18,1.059519566,1.670997065,151,0.554528415
rule_number-172,19,1.0597832,1.671031052,172,0.47341001
rule_number-303,17,1.059521152,1.671031575,303,0.488343745
rule_number-45,17,1.059578901,1.671035124,45,0.550125182
rule_number-569,20,1.059617374,1.671038342,569,0.349314779
rule_number-142,20,1.059600003,1.67104113,142,0.428315908
rule_number-29,17,1.059627984,1.671063527,29,0.369979888
rule_number-287,20,1.059618139,1.671072204,287,0.357650727
rule_number-94,24,1.059506902,1.671099217,94,0.428812116
rule_number-398,18,1.059622327,1.671101206,398,0.453587711
rule_number-571,17,1.059624545,1.671130726,571,0.352314353
rule_number-814,16,1.059552066,1.671147662,814,0.51901722
rule_number-791,19,1.059545659,1.671169446,791,0.548393965
rule_number-124,18,1.059620482,1.671171275,124,0.332568198
rule_number-157,19,1.059683255,1.671208337,157,0.406876445
rule_number-663,20,1.059623181,1.671239353,663,0.555404782
rule_number-92,16,1.059572285,1.67124534,92,0.445533097
rule_number-559,20,1.059638659,1.671251367,559,0.474736989
rule_number-845,20,1.059700157,1.671259194,845,0.620065749
rule_number-90,17,1.059775361,1.671272532,90,0.598893285
rule_number-775,24,1.059687612,1.671280562,775,0.483552903
rule_number-46,26,1.059542539,1.671313507,46,0.479521751
rule_number-570,18,1.059587462,1.671388705,570,0.356432498
rule_number-600,17,1.059653589,1.671405856,600,0.404602796
rule_number-283,20,1.059616159,1.671418892,283,0.536672592
rule_number-557,23,1.059549289,1.671607268,557,0.565148175
rule_number-302,20,1.059542478,1.671609054,302,0.499553263
rule_number-23,17,1.059223446,1.671623074,23,0.398619443
rule_number-95,17,1.059261095,1.671716281,95,0.355687231
rule_number-51,18,1.059598918,1.671735623,51,0.505878091
rule_number-407,28,1.059658284,1.671745782,407,0.523140967
